keys,en,tr
UI_POLITICAL_POWER_TIP,Political Power,Siyasi Güç
UI_STABILITY_TIP,Stability,İstikrar
UI_WAR_SUPPORT_TIP,War Support,Savaş Desteği
UI_MANPOWER_TIP,Available Manpower,Kullanılabilir İnsan Gücü
UI_DAY,day,gün
UI_PAUSED,PAUSED,DURAKLATILDI
UI_PAUSE_TIP,Pause / Resume (Space),Duraklat / Devam (Boşluk)
UI_POPULATION,Population,Nüfus
UI_MANPOWER,Manpower,İnsan Gücü
UI_AREA,Area,Alan
UI_PROVINCES,Provinces,Bölgeler
UI_STATE_ID,State,Eyalet
UI_SELECTED_PROVINCE,SELECTED PROVINCE,SEÇİLİ BÖLGE
UI_TERRAIN,Terrain,Arazi
UI_COASTAL,Coastal,Kıyı
UI_PROVINCE_AREA,Area,Alan
UI_PROVINCE_ID,Province,Bölge
UI_YES,Yes,Evet
UI_NO,No,Hayır
UI_PLAY_AS,Play as %s,%s olarak oyna
UI_SEA_ZONE,Sea Zone #%d,Deniz Bölgesi #%d
UI_LAKE,Lake,Göl
MAPMODE_POLITICAL,Political,Siyasi
MAPMODE_TERRAIN,Terrain,Arazi
MAPMODE_STATES,States,Eyaletler
MAPMODE_ROUTES,Routes,Yollar
IDEOLOGY_democratic,Democratic,Demokratik
IDEOLOGY_communism,Communist,Komünist
IDEOLOGY_fascism,Fascist,Faşist
IDEOLOGY_neutrality,Non-Aligned,Bağlantısız
TERRAIN_plains,Plains,Ova
TERRAIN_forest,Forest,Orman
TERRAIN_hills,Hills,Tepelik
TERRAIN_mountain,Mountain,Dağlık
TERRAIN_desert,Desert,Çöl
TERRAIN_ocean,Ocean,Okyanus
TERRAIN_lake,Lake,Göl
MONTH_1,January,Ocak
MONTH_2,February,Şubat
MONTH_3,March,Mart
MONTH_4,April,Nisan
MONTH_5,May,Mayıs
MONTH_6,June,Haziran
MONTH_7,July,Temmuz
MONTH_8,August,Ağustos
MONTH_9,September,Eylül
MONTH_10,October,Ekim
MONTH_11,November,Kasım
MONTH_12,December,Aralık
UI_VICTORY_POINTS,Victory Points,Zafer Puanı
UI_LARGEST_CITY,Largest City,En Büyük Şehir
UI_CITY,City,Şehir
TERRAIN_marsh,Marsh,Bataklık
UI_PORT,port,liman
MENU_SUBTITLE,1936 — 1945  ·  GRAND STRATEGY,1936 — 1945  ·  BÜYÜK STRATEJİ
MENU_NEW_GAME,New Game,Yeni Oyun
MENU_CONTINUE,Continue,Devam Et
MENU_SETTINGS,Settings,Ayarlar
MENU_QUIT,Quit,Çıkış
SELECT_TITLE,Choose Your Nation,Ülkenizi Seçin
SELECT_HINT,You can also click any country on the map.,Haritadaki herhangi bir ülkeye tıklayarak da seçebilirsiniz.
SELECT_STATES,States,Eyaletler
SELECT_START,Start Game,Oyunu Başlat
SELECT_BACK,Back,Geri
CONSTRUCTION_TITLE,Construction,İnşaat
CONSTRUCTION_BUTTON,Construction (T),İnşaat (T)
CONSTRUCTION_HINT,Select a building type.,Bir bina türü seçin.
CONSTRUCTION_CLICK_STATE,Click one of your states on the map to build: %s,İnşa etmek için haritada bir eyaletinize tıklayın: %s
CONSTRUCTION_QUEUED,Added to the construction queue.,İnşaat kuyruğuna eklendi.
CONSTRUCTION_QUEUE,QUEUE,KUYRUK
"CONSTRUCTION_SUMMARY","Civilian factories: %d  ·  Consumer goods: %d  ·  Available: %d","Sivil fabrika: %d  ·  Tüketim malı: %d  ·  Kullanılabilir: %d"
"CONSTRUCTION_ROW","%d factories  ·  %s days","%d fabrika  ·  %s gün"
BUILD_ERR_OWNER,You do not control this state.,Bu eyalet sizin kontrolünüzde değil.
